CategoryCode;CategoryName;SuperCategoryCode
272;Vysílačky;89
274;Kompasy a buzoly;89
645;Turistické navigace;89
646;Stany;89
647;Spacáky;89
648;Kempingový nábytek;89
649;Doplňky ke kempování;89
650;Trekové hole;89
651;Karimatky;89
652;Batohy;89
759;Láhve a kelímky;89
760;Vaření;89
761;Světla;89
762;Bezpečnost;89
;;90
632;Zahradní tampolíny;91
633;Zahradní houpačky;91
634;Dětské hřiště;91
635;Nafukovací hrady;91
636;Skluzavky;91
637;Doplňky do vody;91
638;Doplňky na sníh;91
386;Hračky;92
742;Puzzle;92
743;Dřevěné modely;92
744;Společenské a deskové hry;92
745;Šlapadla a odstrkovadla;92
746;RC modely;92
747;Zvířátka;92
748;Figurky;92
749;Panenky;92
750;Ostatní hračky;92
751;Kuchyňky;92
752;Plyšové hračky;92
753;Stavebnice;92
754;Hudební nástroje;92
652;Batohy;93
653;Tašky;93
654;Kabinová zavazadla;93
655;Kufry;93
656;Peněženky;93
657;Školní batohy;93
658;Kufry na kolečkách;93
659;Doplňky ke kufrům;93
160;Kalkulátory;94
657;Školní batohy;94
734;Notesy a bloky;94
735;Psací potřeby;94
714;Trička;118
715;Sportovní dresy;118
716;Kraťasy;118
717;Kalhoty;118
718;Mikiny;118
719;Svetry;118
720;Nátělníky;118
721;Čepice;118
722;Bundy;118
723;Kabáty;118
724;Spodní prádlo;118
725;Ponožky;118
726;Rukavice;118
727;Obuv;118
728;Doplňky;118
729;Košile;118
730;Halenky;118
731;Sukně;118
732;Ostatní oblečení;118
739;Plavky;118
740;Dětské soupravy;118
741;Tepláky a soupravy;118
273;Příslušenství k výrobkům pro sport;119
736;Halové sporty;119
737;Venkovní sporty;119
738;Fitness;119
294;Dílna;29
295;Zahrada;29
296;Kuchyně;29
297;Koupelna;29
298;Topení;29
299;Doplňky pro domácnost;29
301;Zabezpečení;29
320;Garáž;29
410;Bytový textil;29
21;Autorádia;95
126;Navigace;95
263;Příslušenství k Navigacím;95
408;Autožárovky;95
411;Alkohotestery;95
412;Nabíječky autobaterií;95
413;Startovací kabely;95
414;Chladničky do auta;95
415;Doplňky do auta;95
416;Smart doplňky do auta;95
417;Pneumatiky;95
418;Zimní výbava;95
419;Interiér;95
420;Střešní boxy a nosiče;95
422;Autokosmetika;95
456;Bazény s konstrukcí;96
457;Nafukovací bazény;96
458;Vířivky;96
459;Příslušenství k bazénům a vířivkám;96
460;Solární sprchy;96
461;Filtrace;96
462;Infrasauny;96
463;Příslušenství pro sauny;96
464;Nafukovací lehátka a matrace;96
433;Vrtačky;97
434;Brusky;97
435;Frézy;97
436;Hoblíky;97
437;Pily;97
438;Elektrické šroubováky;97
439;Kompresory a Svářečky;97
440;Akuvrtačky a Šroubováky;97
441;Horkovzdušné pistole;97
442;Vrtací kladiva;97
443;Sety nářadí;97
444;Ostatní elektrické nářadí;97
445;Příslušenství k el. nářadí;97
446;Ruční nářadí;97
447;Dílenské vybavení;97
448;Stavební stroje;97
710;Elektrocentrály;97
711;Prodlužovací přívody;97
712;Měřící přístroje;97
465;Benzínové rotační sekačky;98
466;Elektrické rotační sekačky;98
467;Akumulátorové rotační sekačky;98
468;Robotické sekačky;98
469;Vřetenové sekačky;98
470;Rotační sekačky;98
471;Bubnové sekačky;98
472;Zahradní traktory;98
473;Příslušenství pro sekačky;98
474;Křovinořezy a Vyžínače;98
475;Příslušenství pro Křovinořezy a Vyžínače;98
480;Elektrické radiátory;99
481;Průtokové ohřívače;99
482;Bojlery;99
483;Plynové kamna;99
484;Elektrická topidla;99
709;Termostaty;99
;;100
224;Světelné zdroje;101
302;Světla a svítilny;101
409;Chytré osvětlení;101
449;Plynové grily;102
450;Elektrické grily;102
451;Grily na uhlí a dřevo;102
452;Přenosné grily;102
453;Jednorázové grily;102
454;Udírny;102
455;Příslušenství ke grilům a udírnám;102
491;Sety zahradního nábytku;103
492;Stoly;103
493;Křesla a Židle;103
494;Lehátka;103
495;Houpačky;103
496;Párty stany;103
703;Lapače hmyzu;103
755;Příslušenství;103
423;Vysokotlaké čističe;104
424;Čerpadla a vodárny;104
425;Drtiče a štěpkovače;104
426;Řetězové pily;104
427;Kultivátory a provzdušňovače;104
428;Zahradní vysavače a fukary;104
429;Nůžky na trávu a živý plot;104
430;Příslušenství k zahradnímu nářadí;104
431;Štípače;104
432;Ostatní zahradní technika;104
700;Žebříky;104
;;105
485;Detektory;106
486;Zámky;106
487;Trezory a Bezpečnostní schránky;106
488;Domovní alarmy;106
489;Fotopasti;106
490;Ostatní Bezpečnostní technika;106
708;Videotelefony a kukátka;106
28;Budíky a hodiny;107
277;Meteostanice a teploměry;107
476;Doplňky pro mazlíčky;107
477;Věšáky;107
478;Ostatní interiérové doplňky;107
479;Fotorámečky;107
763;Nábytek do interiéru;122
764;Nábytek do exteriéru;122
768;Obojky, vodítka, postroje a náhubky;123
774;Adresáře a známky pro psy;123
775;Ostatní doplňky pro psy;123
776;Pamlsky pro psy;123
777;Boudy, pelíšky a přepravky pro psy;123
778;Granule pro psy;123
779;Hračky pro psy;123
780;Kosmetika a hygiena pro psy;123
781;Misky a barely pro psy;123
782;Mokrá krmiva a mléka pro psy;123
783;Oblečky pro psy;123
769;Podestýlky pro kočky;124
784;Pamlsky a tráva pro kočky;124
785;Pasty pro kočky;124
786;Boudy, pelíšky a přepravky pro kočky;124
787;Granule pro kočky;124
788;Škrabadla a odpočívadla pro kočky;124
789;Hračky pro kočky;124
790;Toalety a lopatky pro kočky;124
791;Kosmetika a hygiena pro kočky;124
792;Misky a barely pro kočky;124
793;Mokrá krmiva a mléka pro kočky;124
794;Obojky, vodítka, postroje pro kočky;124
795;Ostatní doplňky pro kočky;124
770;Doplňky pro hlodavce;125
797;Hračky pro hlodavce;125
798;Klece, přepravky pro hlodavce;125
799;Kosmetika, čistící písky pro hlodavce;125
800;Krmiva pro hlodavce;125
801;Pamlsky pro hlodavce;125
802;Pítka a misky pro hlodavce;125
803;Podestýlky, hobliny pro hlodavce;125
804;Postroje pro hlodavce;125
772;Krmiva pro akvarijní rybičky;126
810;Technika do akvárií;126
811;Akvária a akvarijní sety;126
812;Dekorace do akvária;126
813;Chemie a úprava vody v akváriích;126
814;Jezírka a příslušenství;126
816;Písky, štěrky, břidlice, rašeliny;126
817;Příslušenství do akvária;126
818;Rostliny do akvárií;126
805;Hračky pro ptáky;127
806;Klece, krmítka pro ptáky;127
807;Kosmetika, hygiena pro ptáky;127
808;Krmiva pro ptáky;127
809;Pochoutky pro ptáky;127
819;Dekorace do terária;128
820;Krmiva pro plazy a želvy;128
821;Ostatní doplňky do terária;128
822;Podestýlky do terária;128
823;Příslušenství do terária;128
824;Technika do terária;128
825;Terária, želvária;128
826;Vybavení terárií;128
278;Elektrické zubní kartáčky;108
660;Dětské elektrické kartáčky;108
661;Náhradní hlavice;108
662;Ústní sprchy;108
663;Příslušenství ke kartáčkům;108
664;Zubní centra;108
665;Ostatní;108
666;IPL epilátory;109
667;Epilátory;109
668;Planžetové holící strojky;110
669;Frézkové holící strojky;110
670;Příslušenství k holícím strojkům;110
671;Zastřihávače vousů;110
672;Zastřihávače vlasů;110
673;Zastřihávače chloupků;110
674;Příslušenství k zastřihovačům;110
675;Digitální váhy;111
676;Diagnostické váhy;111
677;Chytré váhy;111
678;Dětské chůvičky;112
679;Potřeby pro kojení;112
680;Ostatní kojenecé potřeby;112
392;Péče o pleť;113
402;Péče o zuby;113
681;Kosmetické přístroje;113
682;Masážní přístroje;113
683;Manikůra a pedikůra;113
684;Ostatní péče o tělo;113
706;Vyhřívané dečky;113
685;Žehličky na vlasy;114
686;Kulmofény;114
687;Kulmy;114
688;Žehlící kartáče;114
689;Krepovačky;114
690;Natáčky;114
702;Fény;114
691;Pažní tlakoměry;115
692;Zápěstní tlakoměry;115
693;Digitální teploměry;115
694;Bezkontaktní teploměry;115
695;Diagnostické testy;116
696;Glukometry;116
697;Oxymetry;116
698;Inhalátory;116
699;Dioptrické pomůcky;116
705;Ostatní zdravotnické pomůcky;116
756;Ochranné pomůcky;116
757;Dezinfekce;116
